schema_version,observation_id,target_id,target_name,platform,metric,value,numerator,denominator,content_id,content_format,published_at,observed_at,recorded_at,source_url,native_id,confidence,coverage,data_class,permitted_purpose,retention_days,rights_state
golem.competitive-pulse-import.v1,obs-north-followers-01,northstar-labs,Northstar Labs,youtube,followers,10000,,,,,,2026-06-01T12:00:00Z,2026-06-01T12:05:00Z,https://example.invalid/northstar-labs,north-followers-20260601,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-north-followers-02,northstar-labs,Northstar Labs,youtube,followers,10600,,,,,,2026-06-22T12:00:00Z,2026-06-22T12:05:00Z,https://example.invalid/northstar-labs,north-followers-20260622,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-north-content-01,northstar-labs,Northstar Labs,youtube,content_published,1,,,north-video-01,video,2026-06-02T09:00:00Z,2026-06-03T12:00:00Z,2026-06-03T12:05:00Z,https://example.invalid/northstar-labs/videos/01,north-video-01,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-north-content-02,northstar-labs,Northstar Labs,youtube,content_published,1,,,north-video-02,video,2026-06-15T09:00:00Z,2026-06-16T12:00:00Z,2026-06-16T12:05:00Z,https://example.invalid/northstar-labs/videos/02,north-video-02,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-north-engagement-01,northstar-labs,Northstar Labs,youtube,engagement_rate,,480,10000,north-video-01,video,2026-06-02T09:00:00Z,2026-06-03T12:00:00Z,2026-06-03T12:05:00Z,https://example.invalid/northstar-labs/videos/01,north-video-01,0.98,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-north-engagement-02,northstar-labs,Northstar Labs,youtube,engagement_rate,,610,10400,north-video-02,video,2026-06-15T09:00:00Z,2026-06-16T12:00:00Z,2026-06-16T12:05:00Z,https://example.invalid/northstar-labs/videos/02,north-video-02,0.98,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-orbit-followers-01,orbit-coffee,Orbit Coffee,youtube,followers,8000,,,,,,2026-06-01T12:00:00Z,2026-06-01T12:05:00Z,https://example.invalid/orbit-coffee,orbit-followers-20260601,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-orbit-followers-02,orbit-coffee,Orbit Coffee,youtube,followers,8240,,,,,,2026-06-22T12:00:00Z,2026-06-22T12:05:00Z,https://example.invalid/orbit-coffee,orbit-followers-20260622,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-orbit-content-01,orbit-coffee,Orbit Coffee,youtube,content_published,1,,,orbit-short-01,short,2026-06-03T09:00:00Z,2026-06-04T12:00:00Z,2026-06-04T12:05:00Z,https://example.invalid/orbit-coffee/shorts/01,orbit-short-01,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-orbit-content-02,orbit-coffee,Orbit Coffee,youtube,content_published,1,,,orbit-video-02,video,2026-06-16T09:00:00Z,2026-06-17T12:00:00Z,2026-06-17T12:05:00Z,https://example.invalid/orbit-coffee/videos/02,orbit-video-02,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-orbit-engagement-01,orbit-coffee,Orbit Coffee,youtube,engagement_rate,,200,8000,orbit-short-01,short,2026-06-03T09:00:00Z,2026-06-04T12:00:00Z,2026-06-04T12:05:00Z,https://example.invalid/orbit-coffee/shorts/01,orbit-short-01,0.98,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-orbit-engagement-02,orbit-coffee,Orbit Coffee,youtube,engagement_rate,,190,8160,orbit-video-02,video,2026-06-16T09:00:00Z,2026-06-17T12:00:00Z,2026-06-17T12:05:00Z,https://example.invalid/orbit-coffee/videos/02,orbit-video-02,0.98,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-vertex-followers-01,vertex-studio,Vertex Studio,youtube,followers,15000,,,,,,2026-06-01T12:00:00Z,2026-06-01T12:05:00Z,https://example.invalid/vertex-studio,vertex-followers-20260601,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-vertex-followers-02,vertex-studio,Vertex Studio,youtube,followers,14920,,,,,,2026-06-22T12:00:00Z,2026-06-22T12:05:00Z,https://example.invalid/vertex-studio,vertex-followers-20260622,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-vertex-content-01,vertex-studio,Vertex Studio,youtube,content_published,1,,,vertex-video-01,video,2026-06-04T09:00:00Z,2026-06-05T12:00:00Z,2026-06-05T12:05:00Z,https://example.invalid/vertex-studio/videos/01,vertex-video-01,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-vertex-content-02,vertex-studio,Vertex Studio,youtube,content_published,1,,,vertex-live-02,live,2026-06-17T09:00:00Z,2026-06-18T12:00:00Z,2026-06-18T12:05:00Z,https://example.invalid/vertex-studio/live/02,vertex-live-02,1,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-vertex-engagement-01,vertex-studio,Vertex Studio,youtube,engagement_rate,,300,15000,vertex-video-01,video,2026-06-04T09:00:00Z,2026-06-05T12:00:00Z,2026-06-05T12:05:00Z,https://example.invalid/vertex-studio/videos/01,vertex-video-01,0.98,1,public,competitive_research,90,permitted
golem.competitive-pulse-import.v1,obs-vertex-engagement-02,vertex-studio,Vertex Studio,youtube,engagement_rate,,340,14960,vertex-live-02,live,2026-06-17T09:00:00Z,2026-06-18T12:00:00Z,2026-06-18T12:05:00Z,https://example.invalid/vertex-studio/live/02,vertex-live-02,0.98,1,public,competitive_research,90,permitted
